module,test_id,test_case,preconditions,steps,expected_result,actual_result,status,owner,test_date,evidence_link_or_note
Audit Reports,AUD-01,Export CSV happy path,S3 and SMTP configured; logged in as college_admin/open audit reports page,"Set date range to last 30 days; enter email; click Export CSV & email link","Success toast shown; export row created with processing then completed; s3_key present; email received with download link",,Not Run,,,
Audit Reports,AUD-02,Audit logs date/action/entity filters,Logged in as college_admin or super_admin,"Set from/to; set action UPDATE_ADMIN_SETTINGS; click Refresh logs","Only matching rows shown; no crash on empty result",,Not Run,,,
Audit Reports,AUD-03,Missing email validation,On audit reports page,"Clear email field; click Export CSV & email link","Validation warning or API error shown; export not started",,Not Run,,,
Audit Reports,AUD-04,Export history refresh,At least one export exists,"Click Refresh exports","Latest status visible and table updates correctly",,Not Run,,,
Employer Assessments,ASS-01,Drive upload happy path with mixed registration,Employer login; drive exists; CSV prepared with master-list students including some not registered in drive,"Select target Placement Drive; choose drive; upload CSV; submit","Upload succeeds; accepted/rejected counts shown; unregistered-in-drive students accepted and flagged",,Not Run,,,
Employer Assessments,ASS-02,Job upload happy path,Employer approved for tenant; non-internship/non-project job exists; tenantId known,"Select target Job; choose job; enter tenantId; upload CSV; submit","Upload succeeds and appears in history",,Not Run,,,
Employer Assessments,ASS-03,Reject outside master list rows,CSV includes roll numbers not present in tenant student_profiles,"Upload CSV against drive or job","Rows not in master list rejected with clear errors; no outside student inserted",,Not Run,,,
Employer Assessments,ASS-04,Reject non-CSV file,On assessment upload page,"Select .txt/.xlsx or invalid file; submit","Validation blocks upload with clear message",,Not Run,,,
Employer Assessments,ASS-05,Missing required header validation,CSV missing college_roll_no header,"Upload CSV","Upload rejected with missing header error",,Not Run,,,
Employer Assessments,ASS-06,Duplicate roll number validation,CSV has duplicate college_roll_no rows,"Upload CSV","Duplicate rows rejected with row-level error message",,Not Run,,,
Employer Assessments,ASS-07,Remarks length limit,CSV has remarks > 4000 chars for one or more rows,"Upload CSV","Rows violating limit rejected; other valid rows processed",,Not Run,,,
Employer Assessments,ASS-08,Round names required,On assessment upload page,"Clear one round name; try submit","Client-side warning shown; upload not submitted",,Not Run,,,
Employer Assessments,ASS-09,Block internships/projects,Job is internship/short_project/hackathon,"Attempt job upload","Upload blocked with not-allowed message",,Not Run,,,
Employer Assessments,ASS-10,Template download works,On assessment upload page,"Click Download CSV template","CSV downloads with required headers and sample rows",,Not Run,,,
Data Integrity,DB-01,Export job persisted,At least one export run completed,"Run SQL: SELECT id,status,s3_key,emailed_to,created_at FROM audit_report_exports ORDER BY created_at DESC LIMIT 10","Record exists with expected status and metadata",,Not Run,,,
Data Integrity,DB-02,Upload batch persisted,At least one assessment upload completed,"Run SQL: SELECT id,drive_id,job_id,total_rows,accepted_rows,rejected_rows,created_at FROM employer_assessment_uploads ORDER BY created_at DESC LIMIT 10","Batch row exists with correct counts",,Not Run,,,
Data Integrity,DB-03,Row flags persisted,At least one upload with unregistered-in-drive students,"Run SQL: SELECT upload_id,roll_number,is_unregistered_student,remarks FROM employer_assessment_rows ORDER BY created_at DESC LIMIT 50","Rows present with correct is_unregistered_student flags",,Not Run,,,
Data Integrity,DB-04,Round labels persisted,At least one upload completed,"Run SQL: SELECT upload_id,round_no,round_label FROM employer_assessment_rounds ORDER BY created_at DESC LIMIT 25","Five rounds stored per upload with expected labels",,Not Run,,,
